run,epoch,accuracy,loss,val_accuracy,val_loss
"[30, 15]",1,0.360250860452652,1.7177281379699707,0.6665273308753967,1.1147379875183105
"[30, 15]",2,0.6705988049507141,1.0107321739196777,0.7537625432014465,0.7857771515846252
"[30, 15]",3,0.7357324361801147,0.8107661008834839,0.7656075954437256,0.7408138513565063
"[30, 15]",4,0.7659549117088318,0.720218300819397,0.8072742223739624,0.6152425408363342
"[30, 15]",5,0.7974317073822021,0.6368638277053833,0.806925892829895,0.590599000453949
"[30, 15]",6,0.8203673362731934,0.5779764652252197,0.827201783657074,0.547861635684967
"[30, 15]",7,0.8350604772567749,0.5347528457641602,0.8307552933692932,0.5302591919898987
"[30, 15]",8,0.8434522747993469,0.5045245885848999,0.8272714614868164,0.541666567325592
"[30, 15]",9,0.8566522598266602,0.4690603017807007,0.8402312994003296,0.5122957229614258
"[30, 15]",10,0.8637598752975464,0.44146162271499634,0.8307552933692932,0.5335047841072083
"[30, 15]",11,0.8688666820526123,0.42592886090278625,0.8448996543884277,0.4899962544441223
"[30, 15]",12,0.876063883304596,0.4080299437046051,0.8308249711990356,0.5303782820701599
"[30, 15]",13,0.8826340436935425,0.3862282633781433,0.8485925197601318,0.4820570647716522
"[30, 15]",14,0.8835598230361938,0.3794938623905182,0.8521460294723511,0.4787387251853943
"[30, 15]",15,0.8895923495292664,0.3645981550216675,0.8428093791007996,0.4970722496509552
"[30, 15]",16,0.892608642578125,0.3498496413230896,0.8444815874099731,0.4933479428291321
"[30, 15]",17,0.8941914439201355,0.3447284996509552,0.8473383784294128,0.4892885088920593
"[30, 15]",18,0.9012990593910217,0.3296286463737488,0.8458054661750793,0.4947790801525116
"[30, 15]",19,0.9028519988059998,0.3222716152667999,0.8460841774940491,0.504190981388092
"[30, 15]",20,0.9057488441467285,0.3120249807834625,0.8480350971221924,0.5117703676223755
"[30, 10]",1,0.3410482406616211,1.7206867933273315,0.5767837166786194,1.2492561340332031
"[30, 10]",2,0.6055248379707336,1.1152019500732422,0.7550167441368103,0.8173906803131104
"[30, 10]",3,0.7213976383209229,0.8297824263572693,0.7737597823143005,0.6708189845085144
"[30, 10]",4,0.7566074132919312,0.70990389585495,0.8053929805755615,0.6047207713127136
"[30, 10]",5,0.7835747599601746,0.641777753829956,0.8085981011390686,0.5817890167236328
"[30, 10]",6,0.8018814325332642,0.5959030985832214,0.8205128312110901,0.5517705082893372
"[30, 10]",7,0.812274158000946,0.5686476826667786,0.827689528465271,0.5443959832191467
"[30, 10]",8,0.821502149105072,0.5426619052886963,0.8184921741485596,0.5615270137786865
"[30, 10]",9,0.8275645971298218,0.5236154794692993,0.8359810709953308,0.5173354744911194
"[30, 10]",10,0.834164559841156,0.5056474208831787,0.8391165137290955,0.515527606010437
"[30, 10]",11,0.8465282917022705,0.48173174262046814,0.8423216342926025,0.5062974691390991
"[30, 10]",12,0.8577572107315063,0.45929354429244995,0.8314520716667175,0.5407422780990601
"[30, 10]",13,0.8598178029060364,0.4483189284801483,0.8298494815826416,0.5659421682357788
"[30, 10]",14,0.8639689683914185,0.43232157826423645,0.8412067890167236,0.5339452624320984
"[30, 10]",15,0.8678512573242188,0.4223102927207947,0.8463628888130188,0.5096839666366577
"[30, 10]",16,0.8721517324447632,0.4121013283729553,0.8466416001319885,0.5077459812164307
"[30, 10]",17,0.8776765465736389,0.39940786361694336,0.8421822786331177,0.5255467295646667
"[30, 10]",18,0.8817977905273438,0.3875720500946045,0.8444119095802307,0.5324831008911133
"[30, 10]",19,0.8845751881599426,0.380331814289093,0.8492892980575562,0.5168603658676147
"[30, 10]",20,0.8897117972373962,0.36925366520881653,0.8476170301437378,0.5166226029396057
"[30, 30]",1,0.3884425759315491,1.6524757146835327,0.6728678941726685,1.0958311557769775
"[30, 30]",2,0.724384069442749,0.8828749656677246,0.7745958566665649,0.667449414730072
"[30, 30]",3,0.795669674873352,0.6425745487213135,0.8108277320861816,0.5680177807807922
"[30, 30]",4,0.8194714188575745,0.5647973418235779,0.7871376872062683,0.6417630314826965
"[30, 30]",5,0.8387636542320251,0.5064742565155029,0.8271321058273315,0.527106761932373
"[30, 30]",6,0.8516051769256592,0.46583977341651917,0.8420429229736328,0.4886690378189087
"[30, 30]",7,0.8652829527854919,0.4273746907711029,0.8359113931655884,0.5023025870323181
"[30, 30]",8,0.8691354393959045,0.4073442816734314,0.8081103563308716,0.5972536206245422
"[30, 30]",9,0.8780946731567383,0.381553053855896,0.8416945338249207,0.4931102991104126
"[30, 30]",10,0.8847543597221375,0.3659960627555847,0.8515886068344116,0.4580913186073303
"[30, 30]",11,0.8897715210914612,0.3536352217197418,0.8531215190887451,0.4765031039714813
"[30, 30]",12,0.8920113444328308,0.3352881371974945,0.8549330830574036,0.4640449285507202
"[30, 30]",13,0.8995669484138489,0.3227074444293976,0.8502647876739502,0.4750463366508484
"[30, 30]",14,0.9031208157539368,0.30976730585098267,0.8462235331535339,0.5004938840866089
"[30, 30]",15,0.9074212312698364,0.29827383160591125,0.8577201962471008,0.47575363516807556
"[30, 30]",16,0.9094818830490112,0.2888183891773224,0.8540273308753967,0.4834569990634918
"[30, 30]",17,0.9135732650756836,0.28192174434661865,0.8513795733451843,0.5115848779678345
"[30, 30]",18,0.9142600893974304,0.2738730311393738,0.8536092638969421,0.4917168915271759
"[30, 30]",19,0.9185307025909424,0.26292118430137634,0.8539576530456543,0.5186522603034973
"[30, 30]",20,0.9207107424736023,0.2542521059513092,0.853748619556427,0.5040784478187561
"[30, 40]",1,0.3647603392601013,1.6779659986495972,0.5508639812469482,1.2245084047317505
"[30, 40]",2,0.6599969863891602,1.0021127462387085,0.7588489651679993,0.7148860096931458
"[30, 40]",3,0.7854860424995422,0.6645027995109558,0.8196070194244385,0.5410124063491821
"[30, 40]",4,0.8218904137611389,0.5529710054397583,0.8247631192207336,0.5239133834838867
"[30, 40]",5,0.8384948372840881,0.499422162771225,0.8427397012710571,0.47206082940101624
"[30, 40]",6,0.8558757901191711,0.456143319606781,0.8432274460792542,0.47234058380126953
"[30, 40]",7,0.8651635050773621,0.4236384630203247,0.8420429229736328,0.47574999928474426
"[30, 40]",8,0.8711661696434021,0.405716210603714,0.8327062726020813,0.5115079283714294
"[30, 40]",9,0.8771987557411194,0.3850926458835602,0.8535395860671997,0.4581626355648041
"[30, 40]",10,0.8867552876472473,0.3617355525493622,0.8498467206954956,0.474345326423645
"[30, 40]",11,0.8889353275299072,0.34927070140838623,0.8448299765586853,0.47498124837875366
"[30, 40]",12,0.8961325883865356,0.3326703608036041,0.8526337742805481,0.48249486088752747
"[30, 40]",13,0.8965208530426025,0.32598021626472473,0.8436455130577087,0.49864843487739563
"[30, 40]",14,0.9022248983383179,0.31145796179771423,0.8511009216308594,0.4710427522659302
"[30, 40]",15,0.9048827886581421,0.3011229634284973,0.8513098955154419,0.4921318590641022
"[30, 40]",16,0.9097506403923035,0.2891368567943573,0.8524944186210632,0.47662732005119324
"[30, 40]",17,0.9110347628593445,0.28159210085868835,0.8498467206954956,0.5256341695785522
"[30, 40]",18,0.91443932056427,0.2745102643966675,0.8508222103118896,0.4877203702926636
"[30, 40]",19,0.9174854159355164,0.2664143741130829,0.8538879752159119,0.5133767127990723
"[30, 40]",20,0.9183514714241028,0.26007992029190063,0.8515886068344116,0.505965530872345
"[30, 15, 7]",1,0.3370763063430786,1.872947096824646,0.4616081416606903,1.5522069931030273
"[30, 15, 7]",2,0.4872629642486572,1.4653325080871582,0.6094620823860168,1.156647801399231
"[30, 15, 7]",3,0.6025086045265198,1.1446877717971802,0.6952341198921204,0.9200780391693115
"[30, 15, 7]",4,0.6561146974563599,0.9959980249404907,0.7478400468826294,0.7943201661109924
"[30, 15, 7]",5,0.6974167823791504,0.8956066966056824,0.7518812417984009,0.7805240750312805
"[30, 15, 7]",6,0.716559648513794,0.8447272777557373,0.7766165137290955,0.7239034175872803
"[30, 15, 7]",7,0.7342392206192017,0.7975375652313232,0.7895763516426086,0.6826409697532654
"[30, 15, 7]",8,0.7495893836021423,0.753736138343811,0.7858834862709045,0.6933127045631409
"[30, 15, 7]",9,0.7614155411720276,0.7309207916259766,0.7896460294723511,0.6781478524208069
"[30, 15, 7]",10,0.7727639079093933,0.7038137912750244,0.8037207126617432,0.657208263874054
"[30, 15, 7]",11,0.7812453508377075,0.6808933019638062,0.8039297461509705,0.6508018374443054
"[30, 15, 7]",12,0.7910706400871277,0.6552125215530396,0.8166806101799011,0.6357727646827698
"[30, 15, 7]",13,0.7979692220687866,0.6341423988342285,0.8227424621582031,0.6408191323280334
"[30, 15, 7]",14,0.8063610792160034,0.6174160838127136,0.8267837166786194,0.6233025193214417
"[30, 15, 7]",15,0.8149021863937378,0.5977331399917603,0.8280379176139832,0.63092041015625
"[30, 15, 7]",16,0.827385425567627,0.5797095894813538,0.8284559845924377,0.6229569315910339
"[30, 15, 7]",17,0.8308197855949402,0.5682902336120605,0.8265746831893921,0.6393973231315613
"[30, 15, 7]",18,0.8374197483062744,0.5521125197410583,0.834726870059967,0.616062581539154
"[30, 15, 7]",19,0.8405554890632629,0.5346457958221436,0.8354933261871338,0.6352988481521606
"[30, 15, 7]",20,0.845274031162262,0.5243391990661621,0.8351449370384216,0.6077329516410828
